HY07-155-10,CORPS TOURELLE VSLT346NITM,A,2,2,,труба Ф154х2,INOX 304L,,,7.85,12.0,154.0,,400.0,,1.0,0.4,0.0,3.04,36.48,,7.5,сварка +полировка,120,,,0.23065812,,0.0,5.0,5.0,10.0,360.0,140.0,500.0,,,0.0,,,0,60.0,10.0,70.0,,,0.0,,,0.0,30.0,90.0,120.0,,,0.0,,,0.0,15.75,37947
HY07-155-11,CORPS TOURELLE VSLT346NITM,A,1,1,,труба Ф154х2,INOX 304L,,,7.85,12.0,154.0,,400.0,,1.0,0.4,0.0,3.04,36.48,,7.5,сварка +полировка,120,,,0.23065812,,0.0,5.0,5.0,10.0,360.0,140.0,500.0,,,0.0,,,0,60.0,10.0,70.0,,,0.0,,,0.0,30.0,90.0,120.0,,,0.0,,,0.0,11.666666666666666,37947
HY07-155-12,COLLERETTE,B,2,2,,,INOX 304L,,,7.85,6.0,20.0,,10.0,,1.0,0.023,0.0,0.0566926999999999,0.3401561999999999,,7.5,,0,,,0.001256,,0.0,3.0,0.15,3.15,,,0.0,,,0.0,,,0,20.0,2.5,22.5,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4716666666666667,37947
HY02-091-10,Corps de camera,I,20,20,RC-Ex,,,,STMAT00215,TUBE INOX 316L 118X80,7.8,12.943088362068966,118.0,,185.0,,1.0,4.255,0.0,197.432,2555.3798215,0.0,0,,0.0,0.09040688,,0.0,,30.0,15.0,45.0,,,0.0,,,0.0,,,0,180.0,100.0,280.0,60.0,3.9,63.9,,,0.0,15.0,3.0,18.0,,,0.0,,,0.0,45.38333333333333,37978
HY02-091-12,Bague de hublot,E,20,20,RC1,,,,STMAT00214,TUBE INOX 316L 125X100,7.8,14.920402459474568,120.0,,38.0,,1.0,0.8739999999999999,0.0,31.27172,466.586648,429.75,0,23.329332400000002,0.0,0.0369264,,,,30.0,15.0,45.0,,,0.0,,,0.0,,,0,140.0,35.1,175.1,60.0,3.9,63.9,,,0.0,15.0,3.0,18.0,,,0.0,,,0.0,23.08333333333333,37978
HY02.091.13,bague de serrage,B,20,20,RC1,,,Nylon,PLAQ00234,P PA6/6 NAT EP008 0610X1000,1.2,8.0,,5.0,110.0,110.0,1.0,0.0,0.2783,1.6698,13.3584,,0,,0.0,0.0264,,0.0,,10.0,0.5,10.5,,,0.0,,,0.0,,,0,60.0,6.0,66.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.333333333333333,37978
HY02.230.38,Support lentille,B,23,23,RC1,,,AU4G,D16T,,2.85,7.0,32.0,,8.0,,1.0,0.2115999999999999,0.0,0.4847637503999999,3.3933462528,,0,,0.0,0.00241152,ANOD NOIRE,0.0964608,,5.0,0.3,5.3,,,0.0,,,0.0,,,0,60.0,4.0,64.0,30.0,1.0,31.0,,,0.0,3.0,0.2,3.2,,,0.0,,,0.0,3.7416666666666663,37978
HY02-230-10,FLASQUE ARRIERE,E,20,20,RC2,,,DELRIN NOIRE,POM NOIR,,1.4,12.0,,6.0,85.0,85.0,1.0,0.0,0.166175,1.3958699999999995,16.750439999999998,,0,,0.0,0.01649,,0.0,,5.0,1.0,6.0,,,0.0,90.0,7.5,97.5,,,0,,,0.0,,,0.0,,,0.0,3.0,1.0,4.0,,,0.0,,,0.0,4.800000000000001,37978
HY02-230-18,AXE D'ENTRAINEMENT,B,20,20,RC2,,,INOX,INOX,,7.8,8.0,6.0,,41.0,,1.0,0.9429999999999998,0.0,0.2078636039999999,1.6629088319999996,,0,,0.0,0.00082896,,0.0,,3.0,0.3,3.3,,,0.0,,,0.0,,,0,60.0,2.0,62.0,40.0,1.0,41.0,,,0.0,3.0,0.3,3.3,,,0.0,,,0.0,2.9666666666666663,37978
HY02-230-19,SUPPORT MOTEUR,D,20,20,RC1,,,AU4G,D16T,,2.85,7.0,,20.0,28.0,28.0,1.0,0.0,0.018032,1.0278239999999998,7.194767999999999,,0,,0.0,0.003808,ANOD NOIRE,0.15232,,5.0,1.0,6.0,,,0.0,120.0,14.2,134.2,,,0,,,0.0,,,0.0,,,0.0,7.0,4.0,11.0,,,0.0,,,0.0,8.599999999999998,37978
HY02-230-20,PORTE CARTE,E,20,20,RC1,,,AU4G,D16T,,2.85,7.0,,6.0,110.0,80.0,1.0,0.0,0.2023999999999999,3.46104,24.22728,,0,,0.0,0.01988,ANOD NOIRE,0.7951999999999999,,5.0,1.0,6.0,,,0.0,120.0,14.2,134.2,,,0,,,0.0,,,0.0,,,0.0,10.0,4.0,14.0,,,0.0,,,0.0,8.65,37978
HY02-230-21,SUPPORT ROULEMENT,C,20,20,RC2,,,AU4G,D16T,,2.85,7.0,85.0,,23.0,,1.0,0.529,0.0,8.550825431249999,59.85577801875,,0,,0.0,0.01748195,ANOD NOIRE,0.699278,,5.0,1.0,6.0,,,0.0,,,0.0,,,0,75.0,5.0,80.0,90.0,10.0,100.0,,,0.0,10.0,5.5,15.5,,,0.0,,,0.0,10.166666666666666,37978
HY02.230.27,SUPPORT ROULEMENT,B,20,20,RC2,,,AU4G,D16T,,2.85,7.0,,12.0,85.0,47.0,1.0,0.0,0.091885,3.142467,21.997269,,0,,0.0,0.011158,ANOD NOIRE,0.44632,,5.0,1.0,6.0,,,0.0,120.0,16.0,136.0,,,0,,,0.0,,,0.0,,,0.0,3.0,1.5,4.5,,,0.0,,,0.0,8.299999999999999,37978
