обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1,year
HY02-230-19,SUPPORT MOTEUR,D,20,20.0,RC1,,,AU4G,D16T,,2.85,7.0,,20.0,28.0,28.0,1.0,0.0,0.018032,1.0278239999999998,7.194767999999999,,0,,0.0,0.003808,ANOD NOIRE,0.15232,,5.0,1.0,6.0,,,0.0,120.0,14.2,134.2,,,0.0,,,0.0,,,0.0,,,0.0,7.0,4.0,11.0,,,0.0,,,0.0,8.599999999999998,37978,02-230-19,2019
HY02-230-20,PORTE CARTE,E,20,20.0,RC1,,,AU4G,D16T,,2.85,7.0,,6.0,110.0,80.0,1.0,0.0,0.2023999999999999,3.46104,24.22728,,0,,0.0,0.01988,ANOD NOIRE,0.7951999999999999,,5.0,1.0,6.0,,,0.0,120.0,14.2,134.2,,,0.0,,,0.0,,,0.0,,,0.0,10.0,4.0,14.0,,,0.0,,,0.0,8.65,37978,02-230-20,2019
HY02-230-21,SUPPORT ROULEMENT,C,20,20.0,RC2,,,AU4G,D16T,,2.85,7.0,85.0,,23.0,,1.0,0.529,0.0,8.550825431249999,59.85577801875,,0,,0.0,0.01748195,ANOD NOIRE,0.699278,,5.0,1.0,6.0,,,0.0,,,0.0,,,0.0,75.0,5.0,80.0,90.0,10.0,100.0,,,0.0,10.0,5.5,15.5,,,0.0,,,0.0,10.16666666666667,37978,02-230-21,2019
HY02.230.27,SUPPORT ROULEMENT,B,20,20.0,RC2,,,AU4G,D16T,,2.85,7.0,,12.0,85.0,47.0,1.0,0.0,0.091885,3.142467,21.997269,,0,,0.0,0.011158,ANOD NOIRE,0.44632,,5.0,1.0,6.0,,,0.0,120.0,16.0,136.0,,,0.0,,,0.0,,,0.0,,,0.0,3.0,1.5,4.5,,,0.0,,,0.0,8.299999999999999,37978,02.230.27,2019
HY02-230-29,BRIDE ROULEMENT,D,20,20.0,RC2,,,AU4G,D16T,,2.85,8.0,50.0,,14.0,,1.0,0.322,0.0,1.8009862500000005,14.407890000000004,,0,,0.0,0.006123,OAS NOIRE,0.24492,,5.0,0.5,5.5,,,0.0,,,0.0,,,0.0,60.0,5.0,65.0,60.0,7.0,67.0,,,0.0,10.0,3.0,13.0,,,0.0,,,0.0,7.416666666666667,37978,02-230-29,2019
HY01.350.39,AXE ROUE INTER,C,20,20.0,RC2,,,INOX316L,INOX 316L,,7.8,8.0,16.0,,15.0,,1.0,0.345,0.0,0.54078336,4.32626688,,0,,0.0,0.00115552,,0.0,,3.0,0.3,3.3,,,0.0,,,0.0,,,0.0,60.0,3.0,63.0,30.0,1.8,31.8,,,0.0,3.0,0.5,3.5,,,0.0,,,0.0,3.466666666666666,37978,01.350.39,2019
HY02.230.11,ENTRETOISE,B,20,20.0,RC2,,,AU4G,D16T,,2.85,7.0,25.0,,13.0,,1.0,0.299,0.0,0.41808609375,2.9266026562500005,,0,,0.0,0.00200175,ANOD NOIRE,0.08007,,3.0,0.1,3.1,,,0.0,,,0.0,,,0.0,50.0,0.7,50.7,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,1.15,37978,02.230.11,2019
HY02.230.14,1/2 AXE SITE,C,20,20.0,RC2,,,INOX,LOCMAT01258,J INOX 316L D016,7.8,8.0,16.0,,25.0,,1.0,0.575,0.0,0.9013056,7.210444799999999,,0,,0.0,0.00165792,,0.0,,3.0,0.5,3.5,,,0.0,,,0.0,,,0.0,75.0,3.8,78.8,30.0,1.5,31.5,,,0.0,3.0,0.5,3.5,,,0.0,,,0.0,3.95,37978,02.230.14,2019
HY02-230-16,SUPPORT CAMERA,F,20,20.0,RC1,,,DELRIN NOIRE,LOCMAT05626,P POM NOIR EP006,1.4,12.0,,6.0,45.0,40.0,1.0,0.0,0.0414,0.3477599999999999,4.173119999999999,,0,,1.0,0.00462,,0.0,,3.0,0.5,3.5,,,0.0,90.0,7.0,97.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,4.0,9.0,,,0.0,,,0.0,5.466666666666667,37978,02-230-16,2019
HY02.230.17,ENTRETOISE CAMERA,B,20,20.0,RC1,,,AU4G,LOCMAT02504,P D16T EP006,2.85,7.0,,6.0,45.0,40.0,1.0,0.0,0.0414,0.70794,4.95558,,0,,0.0,0.00462,ANOD NOIRE,0.1848,,5.0,1.0,6.0,,,0.0,90.0,7.8,97.8,,,0.0,,,0.0,,,0.0,,,0.0,7.0,3.5,10.5,,,0.0,,,0.0,5.8,37978,02.230.17,2019
HY02.230.22,AXE AZIMUT,B1,20,20.0,RC2,,,AU4G,LOCMAT02023,J D16T D085,2.85,7.0,85.0,,50.0,,1.0,1.15,0.0,18.5887509375,130.12125656249998,,0,,0.0,0.02468825,ANOD NOIRE,0.9875300000000002,,5.0,1.5,6.5,,,0.0,,,0.0,,,0.0,120.0,10.0,130.0,120.0,18.0,138.0,,,0.0,10.0,8.0,18.0,,,0.0,,,0.0,16.75,37978,02.230.22,2019
HY02-230-24,PROTECTION CAMERA,F,20,20.0,RC1,,,AU4G,LOCMAT02634,P D16T EP001,2.85,7.0,,1.0,220.0,45.0,1.0,0.0,0.2276999999999999,0.6489449999999999,4.542615,,0,,0.0,0.02033,ANOD NOIRE,0.8132,,3.0,0.5,3.5,,,0.0,90.0,7.0,97.0,,,0.0,,,0.0,,,0.0,,,0.0,30.0,15.0,45.0,,,0.0,,,0.0,9.55,37978,02-230-24,2019
HY02-230-25,FLASQUE GAUCHE CAMERA,G,20,20.0,RC2,,,AU4G,LOCMAT02032,J D16T D075,2.85,7.0,75.0,,11.0,,1.0,0.2529999999999999,0.0,3.183886406249999,22.287204843749997,,0,,0.0,0.01142175,ANOD NOIRE,0.45687,,3.0,1.0,4.0,,,0.0,,,0.0,,,0.0,90.0,7.0,97.0,90.0,9.0,99.0,,,0.0,7.0,3.0,10.0,,,0.0,,,0.0,9.833333333333332,37978,02-230-25,2019
HY02.230.26,FLASQUE DROIT CAMERA,C,20,20.0,RC2,,,AU4G,LOCMAT02032,J D16T D075,2.85,7.0,75.0,,11.0,,1.0,0.2529999999999999,0.0,3.183886406249999,22.287204843749997,,0,,0.0,0.01142175,ANOD NOIRE,0.45687,,3.0,1.0,4.0,,,0.0,,,0.0,,,0.0,100.0,8.0,108.0,70.0,14.0,84.0,,,0.0,7.0,3.0,10.0,,,0.0,,,0.0,11.66666666666667,37978,02.230.26,2019
HY02.230.31,1/2 AXE SITE,C,20,20.0,RC2,,,INOX,LOCMAT03146,J INOX AISI 304 D016,7.8,8.0,16.0,,22.0,,1.0,0.5059999999999999,0.0,0.7931489279999998,6.345191423999999,,0,,0.0,0.0015072,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,60.0,4.0,64.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,2.333333333333333,37978,02.230.31,2019
HY02.230.33,AXE LIMITEUR DE COUPLE ,B,20,20.0,RC2,,,INOX,INOX 304,,7.8,8.0,16.0,,20.0,,1.0,0.4599999999999999,0.0,0.7210444799999999,5.768355839999999,,0,,0.0,0.00140672,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,90.0,5.0,95.0,60.0,3.0,63.0,,,0.0,5.0,2.0,7.0,,,0.0,,,0.0,5.916666666666667,37978,02.230.33,2019
HY02.230.34,FIXATION CARTE ,B,20,20.0,RC1,,,DELRIN NOIR,POM NOIR,,1.46,17.0,,8.0,10.0,40.0,1.0,0.0,0.0092,0.107456,1.826752,,0,,0.0,0.0016,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,60.0,4.0,64.0,,,0.0,5.0,1.5,6.5,,,0.0,,,0.0,2.916666666666667,37978,02.230.34,2019
