item,number_cmd,PRODUIT,N°PIECE,IND PROD,REF_BAAN,full_cod1,обозначение,номер_заказа
502218,39085,HY06 052 ,56,A,HY06 052 56,06 052 56,HY06 052 56,39085
502219,39085,HY06 052 ,57,A,HY06 052 57,06 052 57,HY06 052 57,39085
502220,39085,HY06 052 ,58,A,HY06 052 58,06 052 58,HY06 052 58,39085
502221,39085,HY06 052 ,59,B,HY06 052 59,06 052 59,HY06 052 59,39085
502225,39095,HY13-085,52,B,HY13-085-52,13-085-52,HY13-085-52,39095
502226,39095,HY13-085,76,B,HY13-085-76,13-085-76,HY13-085-76,39095
502227,39095,HY13-085,81,B,HY13-085-81,13-085-81,HY13-085-81,39095
502228,39095,HY13-085,83,B,HY13-085-83,13-085-83,HY13-085-83,39095
502229,39095,HY13-085,84,B,HY13-085-84,13-085-84,HY13-085-84,39095
503003,39152,HY01-125,16,A,HY01-125-16,01-125-16,HY01-125-16,39152
503004,39152,HY01-125,19,A,HY01-125-19,01-125-19,HY01-125-19,39152
503005,39152,HY15 144,37,A,HY15 144 37,15 144 37,HY15 144 37,39152
503006,39152,HY01-125,11,B,HY01-125-11,01-125-11,HY01-125-11,39152
503007,39152,HY01-125,12,A,HY01-125-12,01-125-12,HY01-125-12,39152
503008,39152,HY01-125,13,A,HY01-125-13,01-125-13,HY01-125-13,39152
503009,39152,HY01-125,14,A,HY01-125-14,01-125-14,HY01-125-14,39152
503010,39152,HY01-125,15,A,HY01-125-15,01-125-15,HY01-125-15,39152
503011,39152,HY01-125,21,B,HY01-125-21,01-125-21,HY01-125-21,39152
503012,39152,HY01-125,43,A,HY01-125-43,01-125-43,HY01-125-43,39152
503013,39152,HY01-125,44,B2,HY01-125-44,01-125-44,HY01-125-44,39152
503014,39152,HY01-125,45,D,HY01-125-45,01-125-45,HY01-125-45,39152
503015,39152,HY01-125,47,C,HY01-125-47,01-125-47,HY01-125-47,39152
503016,39152,HY01-125,57,A1,HY01-125-57,01-125-57,HY01-125-57,39152
503017,39152,HY01-125,58,B1,HY01-125-58,01-125-58,HY01-125-58,39152
503018,39152,HY01-125,59,B,HY01-125-59,01-125-59,HY01-125-59,39152
503019,39152,HY12-001,21,A,HY12-001-21,12-001-21,HY12-001-21,39152
0,0,0,0,0,0,0, ,39152
503214,39159,HCTK.44.000,7,01,HCTK.44.000.007,.44.000.007,НСТК.44.000.007,39159
503210,39159,HCTK.44.000,1,01,HCTK.44.000.001,.44.000.001,НСТК.44.000.001,39159
503211,39159,HCTK.44.000,2,00,HCTK.44.000.002,.44.000.002,НСТК.44.000.002,39159
503212,39159,HCTK.44.000,4,00,HCTK.44.000.004,.44.000.004,НСТК.44.000.004,39159
503213,39159,HCTK.44.000,6,00,HCTK.44.000.006,.44.000.006,НСТК.44.000.006,39159
503214,39159,HCTK.44.000,7,01,HCTK.44.000.007,.44.000.007,НСТК.44.000.007,39159
503215,39159,HCTK.44.000,8,01,HCTK.44.000.008,.44.000.008,НСТК.44.000.008,39159
503216,39159,HCTK.44.000,12,00,HCTK.44.000.012,.44.000.012,НСТК.44.000.012,39159
