обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
HY13-276-524,WRIST CABLE ENTRY,D,1.0,2.0,RC3,92.7,78.62990661666667,,6082T6,,,2.7,9.0,60.0,,35.0,,1.0,0.0805,0.0,0.6142311,5.5280799,,,,0.0,0.012246,Ан.Окс.тв.чёрный 50мкм.,2.4492,5.0,1.0,0.1166666666666666,,,0.0,90.0,5.0,1.666666666666667,,,0.0,90.0,10.0,1.833333333333333,,,0.0,,,0.0,15.0,15.0,0.75,,,0.0,,,0.0,4.366666666666666,38579,13-276-524
HY13-276-525,WRIST PIVOT PLATES,D,2.0,4.0,RC3,60.9,55.56215466666667,,6082T6,,,2.7,9.0,,16.0,160.0,140.0,1.0,0.0,0.1030399999999999,4.451327999999999,40.06195199999999,,,,0.0,0.0544,Ан.Окс.тв.чёрный 50мкм.,10.879999999999999,5.0,5.0,0.4166666666666667,,,0.0,120.0,20.0,3.333333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,4.0,0.35,,,0.0,,,0.0,4.1,38579,13-276-525
HY13-276-526,BEARING SPACER,А,1.0,2.0,RC3,10.0,9.878643799999999,,316L,,,8.0,9.0,30.0,,9.0,,1.0,0.0207,0.0,0.1169964,1.0529676,,,,0.0,0.0022608,Ан.Окс.тв.чёрный 50мкм.,0.45216000000000006,5.0,0.15,0.0883333333333333,,,0.0,,,0.0,,,0.0,20.0,3.0,0.4333333333333333,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.5216666666666667,38579,13-276-526
HY13-276-527,MOTOR MOUNTING PLATE,D,1.0,2.0,RC3,90.4,61.38004666666667,,6082T6,,,2.7,9.0,,12.0,100.0,70.0,1.0,0.0,0.0161,0.52164,4.69476,,,,0.0,0.01808,Ан.Окс.тв.чёрный 50мкм.,3.6159999999999997,5.0,2.0,0.15,,,0.0,120.0,25.0,2.833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,2.0,0.15,,,0.0,,,0.0,3.133333333333333,38579,13-276-527
HY13-276-530,WRIST PIVOT BUSH,B,2.0,4.0,RC3,15.5,11.496373508333331,,POM black,,,1.41,12.0,50.0,,19.0,,1.0,0.0873999999999999,0.0,0.24184672499999993,2.902160699999999,,,,0.0,0.006908,,0.0,5.0,1.0,0.15,,,0.0,,,0.0,,,0.0,45.0,5.0,1.083333333333333,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,1.233333333333333,38579,13-276-530
HY13-276-532,Magnet mount,А,1.0,2.0,RC3,0.0,75.53355543833334,,304,,,7.85,9.0,70.0,,12.0,,1.0,0.0276,0.0,0.83338269,7.500444209999999,,,,0.0,0.0103306,,0.0,5.0,2.0,0.15,,,0.0,120.0,28.0,2.933333333333333,,,0.0,30.0,8.0,0.7666666666666667,,,0.0,,,0.0,5.0,3.0,0.1833333333333333,,,0.0,,,0.0,4.033333333333333,38579,13-276-532
HY13-276-533,Locking ring,А,1.0,2.0,RC3,0.0,77.12486390520833,,304,,,7.85,9.0,45.0,,10.0,,1.0,0.023,0.0,0.28700679374999993,2.5830611437499997,,,,0.0,0.00459225,,0.0,5.0,2.0,0.15,,,0.0,120.0,30.0,3.0,,,0.0,30.0,5.0,0.6666666666666666,,,0.0,,,0.0,15.0,12.0,0.65,,,0.0,,,0.0,4.466666666666667,38579,13-276-533
HY13-276-534,Clamp,А,1.0,2.0,RC3,0.0,24.332975267333335,,POM black,,,1.46,14.0,30.0,,6.0,,1.0,0.0138,0.0,0.014234562000000001,0.199283868,,,,0.0,0.0019782,,0.0,5.0,0.25,0.0916666666666666,,,0.0,40.0,4.0,0.8,,,0.0,20.0,3.0,0.4333333333333333,,,0.0,,,0.0,1.0,1.0,0.05,,,0.0,,,0.0,1.375,38579,13-276-534
HY13-276-610,MOTOR HOUSING ELBOW & Shoulder,D,2.0,4.0,RC3,,252.93755345,,6082T6,,,2.7,9.0,90.0,,260.0,,1.0,1.196,0.0,20.532868200000003,184.7958138,,,,0.0,0.086193,Ан.Окс.тв.чёрный 50мкм.,17.2386,5.0,5.0,0.4166666666666667,,,0.0,240.0,90.0,10.0,,,0.0,240.0,90.0,10.0,,,0.0,,,0.0,5.0,6.0,0.4833333333333333,,,0.0,,,0.0,20.9,38579,13-276-610
HY13-276-611,ACTUATOR HOUSING,D,1.0,2.0,RC3,288.0,250.0,,6082T6,,,2.7,9.0,90.0,,270.0,,1.0,0.621,0.0,10.661296950000002,95.95167255000004,,,,0.0,0.089019,Ан.Окс.тв.чёрный 50мкм.,17.8038,5.0,5.0,0.25,,,0.0,90.0,15.0,2.0,,,0.0,240.0,110.0,7.666666666666667,,,0.0,,,0.0,15.0,15.0,0.75,,,0.0,,,0.0,10.66666666666667,38579,13-276-611
HY13-276-612,BEARING HOUSING ACTUATOR,D,2.0,4.0,RC3,117.7,94.0,,6082T6,,,2.7,9.0,90.0,,72.0,,1.0,0.3312,0.0,5.6860250400000005,51.17422536000001,,,,0.0,0.0330642,Ан.Окс.тв.чёрный 50мкм.,6.61284,5.0,3.0,0.2833333333333333,,,0.0,45.0,15.0,1.75,,,0.0,200.0,40.0,6.0,,,0.0,,,0.0,15.0,15.0,1.25,,,0.0,,,0.0,9.283333333333331,38579,13-276-612
HY13-276-613,SEAL INSERT,D,2.0,4.0,RC3,51.7,40.0,,6082T6,,,2.7,9.0,50.0,,25.0,,1.0,0.1149999999999999,0.0,0.60935625,5.484206250000001,,,,0.0,0.00785,Ан.Окс.тв.чёрный 50мкм.,1.5699999999999998,5.0,0.5,0.1166666666666666,,,0.0,,,0.0,,,0.0,120.0,15.0,3.0,35.0,5.0,0.9166666666666666,,,0.0,10.0,2.0,0.3,,,0.0,,,0.0,4.333333333333333,38579,13-276-613
HY13-276-614,GUIDE INSERT,B,1.0,2.0,RC3,267.4,220.0,замена материала нашим аналогом БрАЖ9-4,БрАЖ9-4,,,7.5,15.0,50.0,,160.0,,1.0,0.368,0.0,5.416499999999999,81.24749999999999,,,,0.0,0.029045,,0.0,5.0,1.0,0.1166666666666666,,,0.0,200.0,60.0,5.333333333333333,,,0.0,220.0,15.0,4.166666666666667,,,0.0,,,0.0,15.0,2.0,0.3166666666666666,,,0.0,,,0.0,9.933333333333334,38579,13-276-614
HY13-276-615,ROD,B,2.0,4.0,RC3,225.0,190.0,,316L,,,8.0,9.0,50.0,,260.0,,1.0,1.196,0.0,18.7772,168.9948,,,,0.0,0.044745,,0.0,5.0,5.0,0.4166666666666667,,,0.0,180.0,30.0,5.0,,,0.0,240.0,80.0,9.333333333333334,,,0.0,,,0.0,5.0,2.0,0.2166666666666666,,,0.0,,,0.0,14.96666666666667,38579,13-276-615
HY13-276-616,НЕ ИЗГОТАВЛИВАЕМ,B,1.0,2.0,,0.0,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,13-276-616
HY13-276-617,BEARING RETAINER,А,2.0,4.0,RC3,30.3,24.0,,316L,,,8.0,9.0,50.0,,27.0,,1.0,0.1241999999999999,0.0,1.94994,17.54946,,,,0.0,0.008164,,0.0,5.0,2.0,0.2166666666666666,,,0.0,,,0.0,,,0.0,70.0,15.0,2.166666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,2.383333333333333,38579,13-276-617
HY13-276-618,DRIVE COUPLING,B,2.0,4.0,RC3,84.3,70.0,,316L,,,8.0,9.0,25.0,,40.0,,1.0,0.184,0.0,0.7222,6.4998,,,паз,20.0,0.00412125,,0.0,5.0,1.0,0.15,,,0.0,90.0,10.0,2.166666666666667,,,0.0,90.0,10.0,2.166666666666667,,,0.0,,,0.0,5.0,1.0,0.15,,,0.0,,,0.0,4.633333333333334,38579,13-276-618
HY13-276-619,CABLE ENTRY,B,2.0,4.0,RC3,82.1,70.0,,POM black,,,1.41,12.0,50.0,,62.0,,1.0,0.2852,0.0,0.7891840499999999,9.4702086,,,,0.0,0.013659,,0.0,5.0,1.0,0.15,,,0.0,120.0,20.0,3.333333333333333,,,0.0,90.0,10.0,2.166666666666667,,,0.0,,,0.0,5.0,1.0,0.15,,,0.0,,,0.0,5.8,38579,13-276-619
HY13-276-620,SPECIAL WASHER,A,2.0,4.0,RC3,5.8,3.8,замена материала нашим аналогом сталь 40,40,,,7.82,2.0,20.0,,6.0,,1.0,0.0276,0.0,0.06777124800000002,0.135542496,,,,0.0,0.0010048,,0.0,5.0,0.1,0.09,,,0.0,,,0.0,,,0.0,15.0,2.0,0.3833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.4733333333333333,38579,13-276-620
HY13-276-621,НЕ ИЗГОТАВЛИВАЕМ,B,2.0,4.0,,,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,13-276-621
HY13-276-622,PIVOT BUSH,B,2.0,4.0,RC3,19.4,16.0,запросить чертеж с инд В,POM black,,,1.41,12.0,20.0,,71.0,,1.0,0.3265999999999999,0.0,0.144598884,1.7351866080000002,,,,0.0,0.0050868,,0.0,5.0,0.5,0.1166666666666666,,,0.0,,,0.0,,,0.0,45.0,9.0,1.35,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,1.466666666666667,38579,13-276-622
HY13-276-623,НЕ ИЗГОТАВЛИВАЕМ,A,1.0,2.0,,,0.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,13-276-623
HY19-039-11,НЕ ИЗГОТАВЛИВАЕМ,A,1.0,2.0,,,0.0,,POM black,,,1.41,12.0,35.0,,80.0,,1.0,0.184,0.0,0.24948399,2.99380788,,,,0.0,0.01071525,,0.0,5.0,0.5,0.1,,,0.0,90.0,10.0,1.833333333333333,,,0.0,90.0,10.0,1.833333333333333,,,0.0,,,0.0,5.0,0.5,0.1,,,0.0,,,0.0,3.866666666666666,38579,19-039-11
HY19-039-33,НЕ ИЗГОТАВЛИВАЕМ,A,2.0,4.0,,,0.0,НЕТ ЧЕРТЕЖА,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,19-039-33
HY19-039-34,НЕ ИЗГОТАВЛИВАЕМ,A,4.0,8.0,,,0.0,НЕТ ЧЕРТЕЖА,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,19-039-34
HY19-039-32,НЕ ИЗГОТАВЛИВАЕМ,A,3.0,6.0,,,0.0,НЕТ ЧЕРТЕЖА,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,38579,19-039-32
HY13-215-611,BOITE DE JONCTION PREMIERE PARTIE,B,6.0,12.0,,21.2,21.2,,POM black,,,1.41,14.0,50.0,,56.0,,1.0,0.7727999999999999,0.0,2.1384342,29.9380788,,,,0.0,0.012717,,0.0,5.0,0.5,0.1833333333333333,,,0.0,120.0,12.0,4.4,,,0.0,180.0,8.0,4.6,,,0.0,,,0.0,5.0,5.0,1.083333333333333,,,0.0,,,0.0,10.26666666666667,38579,13-215-611
HY13-215-612,BOITE DE JONCTION DEUXIEME PARTIE,А,6.0,12.0,,17.25,17.25,,POM black,,,1.41,14.0,50.0,,45.0,,1.0,0.621,0.0,1.718384625,24.05738475,,,,0.0,0.01099,,0.0,5.0,0.5,0.1833333333333333,,,0.0,90.0,6.0,2.7,,,0.0,120.0,8.0,3.6,,,0.0,,,0.0,5.0,0.25,0.1333333333333333,,,0.0,,,0.0,6.616666666666665,38579,13-215-612
MPHY14023712,JANCTION BOX 3 WAY (OUT),B,1.0,2.0,,56.0,56.0,запросить чертеж с инд В,POM black,,,1.41,12.0,,40.0,100.0,60.0,1.0,0.0,0.0137999999999999,0.7783199999999999,9.33984,,,,0.0,0.0248,,0.0,5.0,5.0,0.25,,,0.0,180.0,60.0,5.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,15.0,0.6666666666666666,,,0.0,,,0.0,5.916666666666667,38579,14023712
HY14 023 711,Boite de jonction partie 2,A,3.0,6.0,RC2,35.0,35.0,,POM black,,,1.41,12.0,45.0,,46.0,,1.0,0.3173999999999999,0.0,0.7114112347499998,8.536934816999997,,,,0.0,0.00967905,,0.0,5.0,1.0,0.1833333333333333,,,0.0,45.0,5.0,1.25,,,0.0,45.0,6.0,1.35,,,0.0,,,0.0,5.0,0.5,0.1333333333333333,,,0.0,,,0.0,2.916666666666667,38579,14 023 711
HY13-082-94,PLATEAU COUPANT PINCES,А,1.0,2.0,,82.5,82.5, 14Х17Н2 согласно RTB -709,431,,,8.0,10.0,,15.0,110.0,105.0,1.0,0.0,0.0265649999999999,3.1877999999999993,31.877999999999997,,,термообработка,2.0,0.02955,,0.0,5.0,2.0,0.15,,,0.0,120.0,55.0,3.833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.1,,,0.0,,,0.0,4.083333333333333,38579,13-082-94
HY13-082-97,PLATEAU COUPANT PINCES,А,1.0,2.0,,,,Добавить в перечень,,,,8.0,10.0,,15.0,110.0,105.0,1.0,0.0,0.0265649999999999,3.1877999999999993,31.877999999999997,,,термообработка,2.0,0.02955,,0.0,5.0,2.0,0.15,,,0.0,120.0,55.0,3.833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.1,,,0.0,,,0.0,4.083333333333333,38579,13-082-97
HY13-082-89,AXE EXT PINCES,А1,2.0,4.0,,5.9,5.9,,316L (калибр),,,8.0,8.0,12.0,,77.0,,1.0,0.3542,0.0,0.320310144,2.562481152,,,,0.0,0.00312744,,0.0,5.0,0.2,0.0966666666666666,,,0.0,,,0.0,,,0.0,20.0,4.0,0.6,,,0.0,,,0.0,,,0.0,10.0,1.0,0.2333333333333333,,,0.0,0.93,38579,13-082-89
HY13-082-84,PLATEAUX PINCES,А,1.0,2.0,,35.1,35.1,coût d'une paire (plateau 1 and 2),316L,,,8.0,8.0,,10.0,120.0,50.0,1.0,0.0,0.0137999999999999,1.1039999999999999,8.831999999999999,,,,0.0,0.0154,,0.0,5.0,1.0,0.1166666666666666,,,0.0,75.0,20.0,1.916666666666667,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.1,,,0.0,,,0.0,2.133333333333333,38579,13-082-84
HY13-082-84-01,PLATEAUX PINCES,А,1.0,2.0,,0.0,0.0,,316L,,,8.0,8.0,,10.0,120.0,50.0,1.0,0.0,0.0137999999999999,1.1039999999999999,8.831999999999999,,,,0.0,0.0154,,0.0,5.0,1.0,0.1166666666666666,,,0.0,75.0,20.0,1.916666666666667,,,0.0,,,0.0,,,0.0,,,0.0,5.0,0.5,0.1,,,0.0,,,0.0,2.133333333333333,38579,13-082-84-01
HY13-082-83,MORS 2 PINCES,C,1.0,2.0,RC3,89.3,89.3,,6082Т6,,,2.7,9.0,,60.0,110.0,64.0,1.0,0.0,0.0161919999999999,2.6231039999999997,23.607935999999995,,,,0.0,0.03496,Ан.Окс.тв.ч.50мкм,6.992,5.0,2.0,0.15,,,0.0,200.0,45.0,4.833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,5.0,0.25,,,0.0,,,0.0,5.233333333333333,38579,13-082-83
