наименование_материала,диаметр,толщина,длина,ширина
Стекло органическое листовое  ТОСП2 ,0,2.0,20,20
Ст3,0,1.5,54,17
д16 бт,0,25.0,328,230
д16 бт,0,10.0,328,230
СО-95К-2,0,2.0,275,180
Стекло органическое листовое  ТОСП2 ,0,2.0,240,25
Стекло органическое листовое  ТОСП3,0,3.0,166,32
Стекло органическое листовое  ТОСП2 ,0,2.0,20,20
Ст3,0,1.5,55,18
Проволока Б-2,2,0,1150,0
20,65,0,12,0
Д16Т,0,20,95,95
40Х,45,0,8,0
40Х,35,0,8,0
40Х,65,0,8,0
Д16Т,70,0,18,0
40Х,35,0,8,0
Д16Т,0,60,95,95
40Х,50,0,160,0
45,0,16,160,175
45,0,16,120,105
45,90,0,27,0
40Х13,0,2,230,50
Д16Т,0,20,95,95
Д16Т,0,35,95,95
45,75,0,9,0
45,90,0,8,0
45,75,0,7,0
45,75,0,8,0
20,75,0,12,0
"Плита 30x1520x3020mm EN AW-5083 H111 – 370kg, цена 7евро/кг., поставка до 7 дней.",0,30,640,200
Ст.3,0,0,0,0
Ст.3,0,15,450,335
Ст.3,0,15,312,63
Ст.3,0,15,312,65
Ст.3,0,15,312,69
Ст.3,0,15,312,72
Ст.3,0,15,441,78
Ст.3,0,15,335,78
40Х13,65.0,0,32,0
"Проволока А-1-0,7",0.7,0,20000,0
40Х13,35.0,0,30,0
40Х13,8.0,0,125,0
Сталь 20,70.0,0,35,0
л63,2.5,0,35,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
EN10029-140A-EN10025-S355J2G3+N,490,0,140,0
EN10029-80A-EN10025-S355JR,372,0,80,0
EN10029-140A-EN10025-S355J2G3+N,439,0,140,0
EN10029-80A-EN10025-S355JR,471,0,80,0
" 
INOX 316L
",90,0,280,0
" 
INOX 316L
",90,0,40,0
" 
INOX 316L
",90,0,10,0
" 
INOX 316L
",10,0,90,0
INOX 316 L,55,0,25,0
POM,20,0,20,0
" 
INOX 316L
",90,0,280,0
" 
INOX 316L
",90,0,40,0
" 
INOX 316L
",90,0,10,0
" 
INOX 316L
",10,0,90,0
INOX 316 L,55,0,25,0
POM,20,0,20,0
Д16Т,0,45,200,192
Д16Т,0,40,305,210
PA,0,35,210,108
PA,0,35,210,108
40Х,0,30,230,90
40Х,0,20,255,210
40Х,0,20,255,210
40Х13,0,100,330,110
40Х13,0,90,205,190
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В 95,40,0,10,0
40Х13,35,0,11,0
B 95,55,0,18,0
B 95,55,0,23,0
B 95,55,0,35,0
B 95,55,0,12,0
B 95,55,0,27,0
40 Х,14,0,87,0
40 Х,30,0,45,0
ПА6,40,0,6,0
B 95,30,0,8,0
B 95,40,0,6,0
B 95,40,0,10,0
B 95,40,0,10,0
Л63,6,0,8,0
Л63,6,0,19,0
ПА6,15,0,8,0
Сталь 45,15,0,14,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
Л63,6,0,23,0
Л63,6,0,7,0
В95,60,0,14,0
40Х13,56,0,15,0
В95,90,0,24,0
В95,90,0,30,0
В95,90,0,51,0
В95,90,0,17,0
В95,90,0,23,0
95Х18,18,0,110,0
40Х,50,0,55,0
45,30,0,11,0
В95,45,0,10,0
В95,70,0,7,0
В95,40,0,10,0
В95,40,0,10,0
ПА6,20,0,8,0
45,28,0,18,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
В95,130,0.0,59,0
В95,95,0.0,106,0
В95,95,0.0,106,0
В95,90,0.0,40,0
В95,70,0.0,84,0
В95,70,0.0,84,0
В95,70,0.0,80,0
В95,70,0.0,21,0
В95,60,0.0,67,0
АМг2,0,1.5,125,125
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,10,0.0,20,0
В95,90,0.0,93,0
В95,65,0.0,68,0
В95,55,0.0,58,0
Л63,10,0.0,7,0
Л63,6,0.0,7,0
В95,70,0.0,170,0
В95,70,0.0,190,0
В95,65,0.0,37,0
В95,65,0.0,12,0
6082Т6,500,0,380,0
6082Т6,500,0,380,0
Сталь 35 ХМЛ,350,0,35,0
Сталь 35 ХМЛ,260,0,35,0
Сталь 35 ХМЛ,260,0,40,0
40Х,350,0,35,0
40Х,260,0,35,0
40Х,260,0,40,0
12ХН3А,0,40,600,600
09Х16Н4Б-Ш,230,0,70,0
09Х16Н4Б-Ш,0,10,340,340
09Х16Н4Б-Ш,0,16,340,340
30ХГСА,0,20,540,540
12ХН3А,0,20,490,490
30ХГСА,0,20,550,550
Д16Т,0,25,80,68
Д16 Т,0,35,51,51
Д16 Т,0,30,76,22
45.0,85,0,13,0
45.0,16,0,21,0
Д16Т,0,70,120,80
д16 т,0,8,98,42
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
12Х18Н10Т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
Сталь 20,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
Проволока,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
40Х13,0,0,0,0
У8А,0,0,0,0
д16 т,0,0,0,0
д16 т,0,0,0,0
д16,0,0,0,0
12Х18Н9Т,0,0,0,0
12Х18Н9Т,0,0,0,0
д16,0,0,0,0
д16,0,0,0,0
д16т,0,0,0,0
д16т,0,0,0,0
12Х18Н9Т,0,0,0,0
12Х18Н9Т,0,0,0,0
Д16Т,0,0,0,0
д16,0,0,0,0
д16 т,0,0,0,0
д16т,0,0,0,0
12Х18Н10Т,0,0,0,0
12Х18Н10Т,0,0,0,0
д16,0,0,0,0
Д16 Т,0,0,0,0
Сталь 20,0,0,0,0
Сталь 20,0,0,0,0
Сталь 20,0,0,0,0
Сталь 10,0,0,0,0
Сталь 10,0,0,0,0
Сталь 20,0,0,0,0
д16,0,0,0,0
Д16Т,0,0,0,0
Труба 12Х18Н10Т,10,0,360,0
электросоединитель,0,0,0,0
12Х18Н10Т,60,0,30,0
14Х17Н2,6,0,11,0
Д16Т,0,3,130,32
Д16Т,0,3,100,80
12Х18Н10Т,8,0,86,0
Д16Т,0,20,110,48
12Х18Н10Т,0,20,48,30
12Х18Н10Т,0,20,48,30
Д16Т,12,0,7,0
12Х18Н10Т,16,0,20,0
Д16Т,25,0,16,0
ЛС59-1,18,0,10,0
ЛС59-1,12,0,10,0
Ф4КС2,25,0,5,0
Ф-4,15,0,16,0
12Х18Н10Т,18,0,26,0
12Х18Н10Т,30,0,18,0
12Х18Н10Т,24,0,62,0
14Х17Н2,20,0,58,0
14Х17Н2,16,0,9,0
ЛС59-1,5,0,32,0
10,0,1,22,14
20,8,0,22,0
12Х18Н10Т,20,0,10,0
Д16Т,25,0,16,0
12Х18Н10Т,18,0,26,0
14Х17Н2,20,0,58,0
14Х17Н2,16,0,9,0
ЛС59-1,5,0,32,0
Д16Т,12,0,7,0
12Х18Н10Т,16,0,20,0
ЛС59-1,18,0,10,0
ЛС59-1,12,0,10,0
Ф-4,15,0,16,0
12Х18Н10Т,30,0,18,0
12Х18Н10Т,24,0,62,0
12Х18Н10Т,20,0,10,0
12Х18Н10Т,60,0,30,0
Д16Т,25,0,16,0
12Х18Н10Т,18,0,26,0
14Х17Н2,20,0,58,0
14Х17Н2,16,0,9,0
ЛС59-1,5,0,32,0
14Х17Н2,6,0,11,0
Д16Т,0,3,130,32
Д16Т,0,3,100,80
12Х18Н10Т,8,0,86,0
Д16Т,0,20,110,48
12Х18Н10Т,0,20,48,30
12Х18Н10Т,0,20,48,30
10,0,1,22,14
20,8,0,22,0
Д16Т,12,0,7,0
12Х18Н10Т,16,0,20,0
ЛС59-1,18,0,10,0
ЛС59-1,12,0,10,0
Ф-4,15,0,16,0
12Х18Н10Т,30,0,18,0
12Х18Н10Т,24,0,62,0
12Х18Н10Т,20,0,10,0
электросоединитель,0,0,0,0
Ф4КС2,25,0,5,0
АК7ч,0,150,180,310
Д16Т,16,0,1000,0
Д16Т,20,0,15,0
Стекло ТОСП,10,0,30,0
Д16,0,12,250,303
POM черный,0,25,200,86
POM черный,0,30,212,86
20кп,45,0,45,0
Д16Т,0,10,30,20
А12,4,0,50,0
Амг,0,2,90,95
Д16Т,0,12,130,80
Д16Т,0,12,53,38
POM черный,0,40,280,90
POM черный,0,20,265,240
POM черный,0,40,300,86
POM черный,0,35,53,37
PA 6,0,2,37,34
Сталь 20,24,0,25,0
Сталь 20,20,0,17,0
ЮЗ,20,0,17,0
INOX304L,28,0,65,0
SUS 304,55,0,112,0
A6061T6,0,10,250,110
А6061Т6,0,10,560,71
А6061Т6,0,10,223,90
А6061Т6,0,10,242,120
А6061Т6,0,10,275,145
А6061Т6,0,10,560,121
680-0170497,700,0,95,0
А6061Т6,0,10,528,71
А6061Т6,0,10,275,145
А6061Т6,0,10,242,140
А6061Т6,0,10,560,121
SUS 304,55,0,55,0
Screw М5х10 А2 DIN 7380,0,0,0,0
SUS 304,25,0,60,0
SUS 304,14,0,15,0
SUS 304,14,0,17,0
SUS 304,55,0,115,0
А6061Т6,0,20,508,38
A6061T6,0,35,68,25
A5052,0,5,45,25
A5052,0,5,45,25
SUS 304,55,0,51,0
SUS 304,50,0,15,0
SUS 304,55,0,10,0
SUS 304,55,0,112,0
A6061T6,0,10,250,110
А6061Т6,0,10,560,71
А6061Т6,0,10,223,90
А6061Т6,0,10,242,120
А6061Т6,0,10,275,145
А6061Т6,0,10,560,121
680-0170497,700,0,95,0
А6061Т6,0,10,528,71
А6061Т6,0,10,275,145
А6061Т6,0,10,242,140
А6061Т6,0,10,560,121
SUS 304,55,0,55,0
Screw М5х10 А2 DIN 7380,0,0,0,0
SUS 304,25,0,60,0
SUS 304,14,0,15,0
SUS 304,14,0,17,0
SUS 304,55,0,115,0
А6061Т6,0,20,508,38
A6061T6,0,35,68,25
A5052,0,5,45,25
A5052,0,5,45,25
SUS 304,55,0,51,0
SUS 304,50,0,15,0
SUS 304,55,0,10,0
PPH,0,21,440,850
PPH,0,21,440,850
INOX 316 L,25,0,35,0
INOX,4,0,505,0
INOX 316L,0,10,35,30
INOX 316L,0,6,60,47
INOX 316L,95,0,145,0
INOX 316L,100,0,31,0
INOX 316L,90,0,28,0
Derlin,10,0,14,0
Derlin,10,0,65,0
AU4G,0,2,126,26
DELRIN NOIR,80,0,35,0
INOX 304L,8,0,81,0
12Х18Н10Т,89,0,30,0
БрАЖ9-4,45,0,13,0
Д16,0.0,1.0,24,16
95Х18,12.0,0.0,20,0
"Шестигр 5,5 (А12)",5.5,0.0,22,0
"Шестигр 5,5 (А12)",5.5,0.0,26,0
"Шестигр 5,5 (А12)",5.5,0.0,26,0
Д16,8.0,0.0,13,0
Д16,0.0,25.0,16,43
Д16,0.0,25.0,16,43
Д16,30.0,0.0,20,0
95Х18,20.0,0.0,7,0
95Х18,20.0,0.0,45,0
Ст20,25.0,0.0,25,0
Ст20,25.0,0.0,20,0
ТМКЩ,0.0,1.0,30,30
Ст20,25.0,0.0,30,0
Ст10,0.0,1.0,15,60
Д16,50.0,0.0,60,0
Д16,35.0,0.0,10,0
Д16,0.0,1.0,30,40
Ст45,50.0,0.0,115,0
Ст10,0.0,2.0,46,62
У8А,0.0,0.8,100,15
ст45,0.0,3.0,26,14
Д16,0.0,1.0,65,25
Ст10,0.0,0.5,100,100
95Х18,30.0,0.0,12,0
ЛС59-1,25.0,0.0,25,0
95Х18,12.0,0.0,75,0
проволока I,0.0,0.0,0,0
95Х18,20.0,0.0,20,0
Пластина пробковая,0.0,0.0,0,0
ЛС59-1,15.0,0.0,16,0
ВТ1-0,60.0,0.0,120,0
Ст45,0.0,16.0,36,80
Ст45,0.0,5.0,23,50
Д16АТ,10.0,0.0,5,0
СТЭФ,0.0,1.5,10,10
.Д16,0.0,5.0,76,91
Ст45,10.0,0.0,55,0
95Х18,12.0,0.0,20,0
95Х18,20.0,0.0,26,0
95Х18,70.0,0.0,18,0
95Х18,35.0,0.0,30,0
95Х18,20.0,0.0,62,0
Ст10,0.0,5.0,600,180
95Х18,25.0,0.0,26,0
Ст45,20.0,0.0,31,0
Д16Т,130.0,0.0,70,0
Д16Т,130.0,0.0,16,0
12Х18Н9Т,15.0,0.0,35,0
Ст40Х,0.0,60.0,360,290
Ст20 искать полосу),0.0,20.0,264,62
Ст40Х,0.0,16.0,52,36
Ст40Х,0.0,20.0,37,48
ст45,0.0,3.0,300,300
ст45,0.0,3.0,300,300
Д16,120.0,0.0,70,0
Д16,0.0,16.0,25,75
Д16,0.0,16.0,25,75
Д16,0.0,16.0,25,75
Д16,0.0,16.0,25,75
Пластина 1Ф-I-АМС - С1-1,0.0,1.0,50,75
Ст20,25.0,0.0,20,0
Ст20,0.0,2.0,105,23
Ст20,0.0,2.0,105,23
Д16,0.0,12.0,74,80
Ст45,220.0,0.0,65,0
Ст45,150.0,0.0,65,0
40Х,0.0,30.0,220,290
40Х,0.0,30.0,175,178
Ст45,0.0,5.0,230,230
Ст45,0.0,5.0,160,160
40Х,50.0,0.0,50,0
40Х,35.0,0.0,34,0
40Х,35.0,0.0,34,0
