наименование_материала,диаметр,толщина,длина,ширина
Д16Т,0,6,42,28
INOX304,50,0,7,0
INOX304,50,0,15,0
INOX304,55,0,51,0
Д16Т,0,16,260,250
INOX304,20,0,330,0
INOX304,0,6,38,28
Д16Т,60,0,20,0
INOX304,90,0,60,0
М1,100,0,100,0
420J2,100,0,180,0
INOX304,0,15,145,60
45,0,20.0,22,20
У8А,0,0.5,16,10
ЛС59-1,12,0.0,21,0
А12,6,0.0,18,0
А12,6,0.0,18,0
Д16АМ,0,12.0,160,132
12Х18Н9Т,10,0.0,11,0
40Х13,90,0.0,15,0
40Х13,90,0.0,10,0
А12,8,0.0,12,0
А12,8,0.0,22,0
А12,8,0.0,26,0
95Х18,40,0.0,8,0
95Х18,0,4.0,185,112
40Х13,22,0.0,19,0
45,0,6.0,320,180
Д16Б,0,12.0,120,80
45,0,20.0,220,160
40Х13,14,0.0,47,0
В95,0,70.0,130,85
45,140,0.0,180,0
45,25,0.0,22,0
45,6,0.0,20,0
45,0,8.0,25,15
45,8,0.0,10,0
45,0,15.0,30,15
У8А,3,0.0,15,0
А12,3,0.0,17,0
Д16,0,6.0,30,30
Д16,12,0.0,7,0
45,5,0.0,18,0
45,20,0.0,15,0
45,16,0.0,10,0
45,0,15.0,45,20
40Х,140,0.0,40,0
45,10,0.0,47,0
45,0,8.0,42,30
45,35,0.0,37,0
45,10,0.0,50,0
45,100,0.0,20,0
45,0,6.0,30,30
Д16,0,30.0,40,40
45,15,0.0,7,0
45,35,0.0,10,0
45,30,0.0,60,0
45,18,0.0,8,0
45,30,0.0,30,0
45,10,0.0,35,0
Д16,10,0.0,16,0
45,6,0.0,15,0
45,15,0.0,17,0
12Х18Н9,10,0.0,6,0
12Х18Н9,14,0.0,21,0
12Х18Н9,14,0.0,59,0
12Х18Н9,18,0.0,13,0
12Х18Н9,12,0.0,20,0
12Х18Н9,12,0.0,18,0
12Х18Н9,0,12.0,26,24
12Х18Н9,0,12.0,26,24
12Х18Н9,0,1.5,260,180
У8А,10,0,25,0
SUS 304,0,0.1,30,30
SUS 304,0,0.3,30,30
SUS 420 J2,75,0.0,30,0
Д16Т,0,20,54,20
Д16Т,0,20,54,34
ВТ1-0,15,0,18,0
ЛС59-1,28,0,11,0
45,0,10,215,195
Д16,0,25,110,85
Д16,200,0,35,0
45,0,5,45,40
Д16,0,20,160,85
Д16Т,0,30,70,50
45,16,0,18,0
Д16,0,25,60,60
Д16,0,20,155,85
Д16,0,16,185,105
Д16,0,10,75,45
Д16,0,12,70,65
Д16,0,20,56,50
Д16,0,35,58,50
Д16,0,12,38,25
Д16,30,0,46,0
Д16,0,25,240,215
Д16,0,8,190,172
Д16,0,45,240,100
95Х18,18,0,16,0
В95,0,15,75,60
Д16,0,20,240,220
Д16,0,35,125,70
Д16,0,50,105,82
Д16,0,16,20,20
Д16,0,16,25,20
Д16,0,20,65,28
Д16,0,30,55,50
Д16,14,0,8,0
Д16,180,0,55,0
Д16,0,35,125,70
45,6,0,52,0
Д16,0,10,160,130
95Х18,70,0,10,0
Д16АТ,0,1,45,30
Д16,55,0,33,0
Д16,40,0,10,0
Д16,0,16,58,58
Д16,0,16,80,65
Д16,0,20,56,50
Д16,30,0,17,0
45,80,0,34,0
95Х18,12,0,45,0
45,8,0,25,0
Д16Т,0,40,65,65
45,8,0,45,0
Д16,50,0,37,0
95Х18,14,0,200,0
Д16,25,0,9,0
Д16,30,0,11,0
"A5052(АМг2,5)",85,0,75,0
Д16Т,0,15,370,280
Амц,0,2,470,360
Д16Т,0,50,310,145
Д16Т,100,0,250,0
Д16Т,200,0,80,0
Д16Т,0,45,380,370
Д16Т,200,0,140,0
Д16Т,0,45,380,370
Д16Т,0,45,295,270
Д16Т,0,15,810,370
Д16Т,0,45,200,160
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
В95,40,0,10,0
В95,40,0,10,0
Л63,6,0,23,0
ПА6,20,0,8,0
45,20,0,14,0
Л63,6,0,7,0
В95,50,0,12,0
40Х13,45,0,11,0
В95,65,0,18,0
В95,65,0,25,0
В95,65,0,36,0
В95,65,0,13,0
В95,65,0,27,0
40Х,15,0,90,0
40Х,35,0,45,0
ПА6,50,0,6,0
В95,35,0,8,0
В95,50,0,6,0
