обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
XМ6-01.00.00.004,Ось гидроцилиндра,0,6,6,С1,,318LN,,,8.0,20.0,18.0,,65.0,,1.0,0.4484999999999999,0.0,0.91257192,18.2514384,0.0,0.0,,0.0,,0.0,0.00418248,,0.0,5.0,0.5,0.1333333333333333,,,0.0,,,0.0,,,0.0,30.0,5.0,1.0,,,0.0,,,0.0,,,0.0,15.0,4.0,0.65,,,0.0,1.783333333333334,39335,6-01.00.00.004
XМ6-02.00.00.001,Каркас плеча боковой,0,4,4,С1,,6082Т6,,,2.7,8.0,,15.0,450.0,150.0,1.0,0.0,0.3105,12.57525,100.602,6.0,90.0,,0.0,,0.0,0.153,Ан.Окс.тв. без окрашивания,15.3,15.0,30.0,2.25,480.0,150.0,18.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,30.0,60.0,4.5,,,0.0,,,0.0,24.75,39335,6-02.00.00.001
XМ6-02.00.00.002,Крышка плеча,0,2,2,С1,,6082Т6,,,2.7,8.0,,25.0,110.0,100.0,1.0,0.0,0.0252999999999999,1.70775,13.662,2.0,30.0,,0.0,,0.0,0.0325,Ан.Окс.тв. без окрашивания,3.25,5.0,2.0,0.15,,,0.0,150.0,75.0,5.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,25.0,1.0,,,0.0,,,0.0,6.15,39335,6-02.00.00.002
XМ6-02.00.00.002-01,Крышка плеча,0,4,4,С1,,6082Т6,,,2.7,8.0,,25.0,110.0,120.0,1.0,0.0,0.0607199999999999,4.098599999999999,32.78879999999999,2.0,30.0,,0.0,,0.0,0.0379,Ан.Окс.тв. без окрашивания,3.790000000000001,5.0,2.0,0.2166666666666666,,,0.0,150.0,80.0,7.833333333333333,,,0.0,,,0.0,,,0.0,,,0.0,10.0,25.0,1.833333333333333,,,0.0,,,0.0,9.883333333333333,39335,6-02.00.00.002-01
XМ6-02.00.00.002-02,Крышка плеча,0,2,2,С1,,6082Т6,,,2.7,8.0,,25.0,110.0,45.0,1.0,0.0,0.011385,0.7684875,6.1479,2.0,30.0,,0.0,,0.0,0.01765,Ан.Окс.тв. без окрашивания,1.765,5.0,1.0,0.1166666666666666,,,0.0,120.0,50.0,3.666666666666667,,,0.0,,,0.0,,,0.0,,,0.0,10.0,15.0,0.6666666666666666,,,0.0,,,0.0,4.45,39335,6-02.00.00.002-02
XМ6-02.00.00.002-03,Крышка плеча,0,2,2,С1,,6082Т6,,,2.7,8.0,,25.0,90.0,55.0,1.0,0.0,0.011385,0.7684875,6.1479,2.0,30.0,,0.0,,0.0,0.01715,Ан.Окс.тв. без окрашивания,1.715,5.0,1.0,0.1166666666666666,,,0.0,120.0,45.0,3.5,,,0.0,,,0.0,,,0.0,,,0.0,10.0,10.0,0.5,,,0.0,,,0.0,4.116666666666666,39335,6-02.00.00.002-03
XМ6-03.00.00.001,Вынос предплечья,0,2,2,С1,,6082Т6,,,2.7,8.0,,30.0,175.0,110.0,1.0,0.0,0.044275,3.586275,28.6902,3.0,45.0,,0.0,,0.0,0.0556,Ан.Окс.тв. без окрашивания,5.56,5.0,5.0,0.25,,,0.0,300.0,120.0,9.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,5.0,0.25,,,0.0,,,0.0,9.5,39335,6-03.00.00.001
XМ6-03.00.00.001-01,Вынос предплечья,0,2,2,С1,,6082Т6,,,2.7,8.0,,30.0,175.0,110.0,1.0,0.0,0.044275,3.586275,28.6902,3.0,45.0,,0.0,,0.0,0.0556,Ан.Окс.тв. без окрашивания,5.56,5.0,5.0,0.25,,,0.0,300.0,120.0,9.0,,,0.0,,,0.0,,,0.0,,,0.0,5.0,5.0,0.25,,,0.0,,,0.0,9.5,39335,6-03.00.00.001-01
XJ01-00.009-03,Ось,0,6,6,С1,,316L,,,8.0,10.0,12.0,,110.0,,1.0,0.7589999999999999,0.0,0.68637888,6.8637888,0.0,0.0,,0.0,,0.0,0.00437088,,0.0,5.0,0.5,0.1333333333333333,,,0.0,,,0.0,,,0.0,30.0,10.0,1.5,,,0.0,,,0.0,,,0.0,15.0,6.0,0.85,,,0.0,2.483333333333333,39335,01-00.009-03
XLC.FB-D10-13-20-060x160,Втулка фрикционная,0,20,20,С1,,POM-C белый,,,1.41,12.0,25.0,,30.0,,1.0,0.69,0.0,0.4773290625,5.72794875,0.0,0.0,,0.0,,0.0,0.00333625,,0.0,5.0,0.25,0.1666666666666666,,,0.0,,,0.0,,,0.0,45.0,8.0,3.416666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.583333333333333,39335,.-10-13-20-060160
